NAME,STATUS,WATERSHED,COUNCIL_DI,PRIMARY_FE,SW_TREE_TR,SW_PLANTER,SW_BUMPOUT,RAIN_GARDE,SW_BASIN,INFILTRATI,POROUS_PAV,SWALE,SW_WETLAND,CISTERN_RA,GREEN_ROOF,OTHER,LINK,LONGITUDE,LATITUDE,LINK_1,LINK_2,LAT,LNG
St. Dominic School,In Design,Pennypack,10,Other, , , , , , , , , , , , ,alt,-75.01573641,40.04617072,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools,40.0461788092,-75.0157381413
St. Anne Rectory,In Design,Delaware,1,Stormwater Tree Trench,3 Stormwater Tree Trenches, , , , , , , , , , , ,alt,-75.11868334,39.98206277,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9820708448,-75.1186850985
St Thomas Aquinas School,Constructed,Schuylkill,2,Stormwater Tree Trench,3 Stormwater Tree Trenches, , , , , , , , , , , ,alt,-75.17416094,39.93038928,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9303973423,-75.1741627089
Springfield Ave and Cobbs Creek Island,In Construction,Cobbs-Darby,2,Rain Garden, , , ,2 Rain Gardens, ,1 Infiltration/Storage Trench, , , , , , ,alt,-75.23521789,39.93471312,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/rain_garden,39.934721183,-75.235219681
Southwest Treatment Plant Parking Lot,In Construction,Schuylkill,2,Rain Garden, , , ,1 Rain Garden, , ,1 Porous Paving Project, , , , , ,alt,-75.21973358,39.88402134,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/rain_garden,39.8840293916,-75.2197353614
Southwark School,Constructed,Delaware,1,Stormwater Tree Trench,1 Stormwater Tree Trench, , , , , , , , , , , ,alt,-75.15911375,39.92591025,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9259183105,-75.1591155219
Smith Playground,In Design,Schuylkill,2,Stormwater Tree Trench,1 Stormwater Tree Trench, , ,1 Rain Garden, , , , , , , , ,alt,-75.18720261,39.92594688,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9259549426,-75.1872043871
Smith Elementary School,Constructed,Schuylkill,2,Stormwater Tree Trench,1 Stormwater Tree Trench, , , , , , , , , , , ,alt,-75.17596178,39.93459722,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9346052792,-75.1759635524
Sister Clara Muhammad School,In Construction,Schuylkill,3,Stormwater Tree Trench,2 Stormwater Tree Trenches, , , , , , , , , , , ,alt,-75.21615828,39.96984939,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.969857452,-75.2161600678
Shissler Playground,Constructed,Delaware,7,Stormwater Tree Trench,2 Stormwater Tree Trenches, , , , , , , , , , , ,alt,-75.13215969,39.97762943,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9776374989,-75.13216145
Sepviva St from Susquehanna Ave to Dauphin St,Constructed,Delaware,1,Infiltration/Storage Trench, , , , , ,1 Infiltration/Storage Trench, , , , , , ,alt,-75.12851272,39.97949058,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/infiltration_storage_trench,39.9794986511,-75.12851448
Sedgwick Station,In Design,TTF,8,Stormwater Bumpout, , ,1 Stormwater Bumpout, , ,1 Infiltration/Storage Trench, , , , , , ,alt,-75.18693421,40.06379856,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_bumpout,40.0638066417,-75.1869359926
"Sedgley Ave, 22nd St (Cecil B Moore Recreation Center, Reyburn Park)",In Design,Delaware,5,Stormwater Tree Trench,1 Stormwater Tree Trench, ,1 Stormwater Bumpout, , , , , , , , , ,alt,-75.16626646,39.99359492,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9936029955,-75.166268238
"Ruscomb, 17th, Ogontz (Logan School)",In Design,TTF,8,Stormwater Tree Trench,3 Stormwater Tree Trenches, , , , , , , , , , , ,alt,-75.15239947,40.03029394,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,40.0303020244,-75.1524012425
Rowland Ave - Ryan to Vista,In Design,Delaware,6,Infiltration/Storage Trench, , , , , ,1 Infiltration/Storage Trench, , , , , , ,alt,-75.04166287,40.0410518,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/infiltration_storage_trench,40.0410598826,-75.0416646038
Ross Park,In Design,Delaware,5,Rain Garden, , , ,1 Rain Garden, ,1 Infiltration/Storage Trench, , , , , , ,alt,-75.14667945,39.99938375,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/rain_garden,39.9993918208,-75.1466812153
Rosehill St (Barton School),In Construction,TTF,7,Stormwater Tree Trench,1 Stormwater Tree Trench, , , , , , , , , , , ,alt,-75.11925509,40.02011269,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,40.0201207693,-75.1192568483
Rockland St,Constructed,TTF,8,Infiltration/Storage Trench, , , , , ,3 Infiltration/Storage Trenches, , , , , , ,alt,-75.14454952,40.02729841,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/infiltration_storage_trench,40.0273064872,-75.1445512864
Rockland Garden,In Design,TTF,8,Stormwater Tree Trench,1 Stormwater Tree Trench, , , , , , , , , , , ,alt,-75.16240555,40.02684116,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,40.0268492398,-75.1624073279
Ridgewood - 55th to 54th,In Design,Cobbs-Darby,3,Stormwater Tree Trench,1 Stormwater Tree Trench, , , , , , , , , , , ,alt,-75.22796708,39.94288601,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9428940744,-75.2279688736
